Call Type,EmployeeID,CallDuration,WaitTime,CallDate,CallTime
3,S274120,955,0,05-08-2019,08:07:00
2,C319958,1362,0,27-10-2019,13:58:00
3,J192194,471,26,02-03-2019,12:13:00
3,K915074,1146,10,21-07-2019,13:13:00
2,J549755,872,0,31-07-2019,19:51:00
3,V228277,272,0,06-02-2019,18:38:00
2,T398672,412,0,11-08-2019,17:36:00
3,T398672,1287,16,28-04-2019,09:44:00
3,M163408,735,0,31-03-2019,18:54:00
3,M794992,406,246,30-03-2019,16:02:00
3,J549755,752,22,09-03-2019,13:36:00
3,K273930,1085,11,30-04-2019,15:06:00
2,D411745,771,29,11-09-2019,12:38:00
3,F542348,134,0,15-06-2019,09:33:00
3,N119221,132,0,20-03-2019,08:58:00
3,G586239,1151,29,05-07-2019,08:28:00
2,J192194,1265,21,23-08-2019,08:22:00
1,N772493,357,7,06-11-2019,17:48:00
1,E988252,282,23,19-08-2019,13:13:00
3,U194381,16,0,14-03-2019,13:14:00
2,E988252,380,0,14-12-2019,12:06:00
3,E778362,642,276,14-08-2019,11:02:00
2,T664783,1232,0,22-02-2019,15:30:00
3,K915074,31,0,18-08-2019,13:48:00
2,T664783,809,0,03-01-2019,14:56:00
3,E243130,143,29,31-08-2019,08:09:00
3,C206355,1488,288,24-09-2019,13:37:00
2,K418200,661,25,22-11-2019,19:22:00
3,G727038,1382,3,01-01-2019,15:13:00
2,F533051,1451,90,12-05-2019,10:09:00
2,E778362,1149,17,18-08-2019,16:03:00
2,B971624,1060,0,19-05-2019,12:19:00
3,B651033,631,3,14-06-2019,12:11:00
1,N620104,277,0,01-08-2019,14:37:00
1,K915074,694,12,23-10-2019,12:54:00
1,D774655,552,23,15-12-2019,11:06:00
3,M163408,1144,250,07-04-2019,16:19:00
3,I543040,798,180,26-02-2019,13:28:00
2,M794992,1255,11,18-05-2019,11:09:00
1,I543040,1304,10,30-04-2019,12:37:00
3,X110622,264,14,25-08-2019,11:13:00
3,X110622,1232,0,01-08-2019,13:45:00
3,K915074,1485,6,06-12-2019,16:42:00
1,E988252,457,0,07-07-2019,08:51:00
3,I543040,1189,15,11-06-2019,09:38:00
1,P203824,293,296,24-07-2019,18:27:00
2,M163408,264,29,16-02-2019,17:38:00
3,T664783,1359,15,29-03-2019,18:21:00
2,T664783,1440,190,15-04-2019,10:30:00
2,K915074,407,0,30-08-2019,09:31:00
3,C319958,658,29,27-09-2019,12:40:00
2,O362956,10,22,19-05-2019,14:41:00
2,J549755,670,1,01-05-2019,10:37:00
2,Q921541,1430,0,09-09-2019,10:28:00
3,X825147,293,0,10-11-2019,09:46:00
1,F542348,809,0,27-10-2019,18:56:00
3,M163408,1066,3,26-06-2019,14:39:00
1,J549755,157,0,03-11-2019,13:01:00
3,C319958,557,0,26-02-2019,12:15:00
2,Q921541,1257,0,24-03-2019,10:13:00
1,M855788,445,20,12-05-2019,16:33:00
3,N470942,953,0,13-09-2019,13:27:00
2,T664783,121,0,10-06-2019,17:48:00
1,S274120,1205,10,16-02-2019,15:38:00
2,N470942,1279,0,26-03-2019,14:28:00
1,O856292,839,0,26-02-2019,18:24:00
3,M794992,1346,0,06-08-2019,19:42:00
1,N772493,871,14,28-01-2019,14:10:00
3,N119221,1068,24,16-09-2019,10:55:00
3,M794992,19,26,27-06-2019,12:23:00
2,J173690,468,0,22-03-2019,11:27:00
3,S564705,1219,10,24-04-2019,14:43:00
3,N470942,394,27,06-08-2019,19:52:00
2,V828034,337,19,20-05-2019,08:57:00
2,J192194,1156,0,02-08-2019,17:22:00
1,M855788,927,0,01-08-2019,18:29:00
3,P203824,1186,7,27-06-2019,15:59:00
1,N470942,668,25,01-07-2019,10:48:00
3,F533051,1056,1,13-09-2019,11:31:00
3,K669566,626,24,26-08-2019,12:22:00
3,G586239,1128,29,28-11-2019,17:10:00
3,G727038,1411,8,25-01-2019,10:51:00
3,K273930,1473,2,15-12-2019,12:01:00
2,M163408,1,23,04-08-2019,11:49:00
1,U641256,1195,0,09-05-2019,17:37:00
1,F533051,347,0,15-06-2019,14:01:00
3,K915074,354,0,27-01-2019,12:20:00
3,M855788,1027,0,15-04-2019,11:28:00
1,G727038,1289,0,07-10-2019,10:25:00
2,F533051,549,1,14-02-2019,09:39:00
1,F533051,1016,13,18-09-2019,19:35:00
2,B971624,878,0,13-11-2019,12:58:00
2,J419954,521,0,09-03-2019,16:19:00
3,B651033,311,93,25-09-2019,13:46:00
3,S564705,757,0,27-07-2019,20:00:00
3,H438047,443,18,08-04-2019,13:16:00
3,I281837,1081,6,25-10-2019,16:04:00
2,X110622,1422,27,01-07-2019,11:49:00
3,E137708,1310,29,25-02-2019,12:28:00
2,Q921541,1242,8,15-08-2019,13:36:00
3,X825147,1094,0,10-04-2019,17:00:00
1,G727038,832,0,22-04-2019,17:53:00
3,U559430,1193,28,24-01-2019,10:04:00
2,K418200,1146,285,21-05-2019,11:15:00
3,E988252,600,17,01-03-2019,08:07:00
3,D411745,831,15,06-04-2019,13:15:00
3,X409223,1068,0,02-07-2019,13:53:00
3,K915074,660,84,08-07-2019,08:43:00
2,G586239,130,0,05-08-2019,09:00:00
3,N620104,172,16,07-06-2019,16:22:00
3,E243130,25,11,19-05-2019,08:08:00
3,K273930,605,0,19-02-2019,18:55:00
2,N772493,472,18,11-04-2019,14:18:00
2,T664783,658,0,01-04-2019,12:57:00
3,N119221,1153,30,03-07-2019,10:28:00
2,H438047,585,18,20-11-2019,14:23:00
3,U641256,420,0,29-08-2019,18:49:00
3,K399501,263,2,25-12-2019,15:23:00
2,B861430,985,0,05-07-2019,19:25:00
3,V828034,801,264,26-01-2019,17:02:00
3,K399501,664,1,17-06-2019,14:36:00
3,S564705,336,10,12-09-2019,10:13:00
1,K915074,925,21,05-02-2019,15:24:00
2,N119221,50,0,03-03-2019,14:39:00
2,B861430,600,13,27-02-2019,16:48:00
1,U641256,899,0,01-11-2019,14:22:00
3,E243130,364,27,01-11-2019,11:10:00
2,K273930,420,0,17-02-2019,09:05:00
1,E243130,1397,9,31-12-2019,16:58:00
3,K915074,500,27,11-07-2019,16:13:00
1,E988252,1206,28,27-03-2019,13:27:00
3,E988252,526,5,16-03-2019,09:41:00
3,K915074,1253,0,09-12-2019,18:32:00
3,C206355,528,0,21-09-2019,13:52:00
3,G727038,546,0,16-05-2019,09:36:00
3,G727038,682,158,06-04-2019,11:17:00
1,V126561,486,0,31-03-2019,11:55:00
3,I992869,1088,2,25-07-2019,10:39:00
3,T387561,1430,23,18-10-2019,10:30:00
3,S274120,193,0,20-08-2019,11:30:00
2,K418200,498,26,05-10-2019,14:24:00
1,D774655,1069,23,05-09-2019,11:33:00
3,D411745,475,0,10-06-2019,08:03:00
2,N620104,1274,23,14-08-2019,19:00:00
3,F533051,231,142,09-07-2019,16:25:00
3,K399501,1299,0,06-09-2019,14:04:00
3,I281837,749,28,08-06-2019,08:41:00
3,K915074,620,14,22-03-2019,14:29:00
1,O362956,1141,4,03-03-2019,14:21:00
2,U559430,636,6,28-02-2019,17:14:00
2,G727038,262,6,23-09-2019,15:43:00
3,U559430,287,25,16-07-2019,17:00:00
3,V228277,1307,0,19-06-2019,13:21:00
3,I281837,1457,0,09-08-2019,09:15:00
3,J549755,1175,27,29-07-2019,11:28:00
2,H438047,484,9,10-06-2019,19:07:00
2,I281837,300,17,30-01-2019,14:37:00
3,A166733,402,80,18-08-2019,13:43:00
2,B971624,1024,3,01-08-2019,08:22:00
3,V828034,760,285,27-12-2019,08:43:00
3,S564705,1316,0,21-09-2019,18:56:00
3,S564705,646,0,04-09-2019,11:20:00
2,V732706,1019,7,18-12-2019,17:47:00
3,V732706,1423,0,01-06-2019,13:44:00
1,E988252,229,12,04-11-2019,12:37:00
2,X825147,761,26,17-12-2019,08:34:00
3,G727038,118,18,13-08-2019,16:38:00
3,E243130,943,8,08-03-2019,13:50:00
3,T387561,643,22,23-10-2019,10:21:00
2,V126561,442,5,17-12-2019,17:59:00
2,X991580,354,22,08-07-2019,16:11:00
3,S274120,646,0,01-08-2019,14:07:00
3,T387561,1269,24,06-01-2019,17:06:00
3,V126561,395,7,06-09-2019,19:45:00
1,T664783,736,0,24-03-2019,13:25:00
1,N772493,1115,14,05-03-2019,12:28:00
3,E243130,575,0,02-09-2019,08:10:00
3,P203824,1388,12,17-07-2019,17:57:00
1,M163408,1415,74,16-01-2019,08:22:00
3,N620104,1288,28,07-06-2019,11:34:00
3,A475155,798,23,10-01-2019,09:43:00
3,T659609,171,9,01-08-2019,10:24:00
3,I281837,1392,0,06-06-2019,16:57:00
1,E243130,848,8,05-10-2019,14:27:00
3,U559430,1085,0,19-02-2019,12:17:00
2,T659609,507,282,01-07-2019,13:35:00
1,K418200,1217,11,17-07-2019,15:25:00
3,E778362,802,248,16-03-2019,11:53:00
2,T664783,583,0,10-04-2019,19:34:00
3,N119221,1094,28,29-09-2019,18:15:00
3,T387561,9,0,05-11-2019,09:42:00
1,U559430,567,6,21-07-2019,18:03:00
3,G586239,319,0,28-04-2019,16:18:00
3,A166733,618,19,06-12-2019,09:41:00
2,I992869,25,0,02-11-2019,08:25:00
2,V228277,77,12,25-08-2019,19:00:00
3,N470942,212,0,25-01-2019,10:23:00
2,J192194,465,10,26-06-2019,13:13:00
2,M794992,1383,0,16-05-2019,17:11:00
3,K418200,1106,0,18-08-2019,09:25:00
2,U641256,1362,81,13-06-2019,08:11:00
1,B861430,29,0,27-09-2019,13:19:00
3,I543040,456,1,14-04-2019,19:43:00
3,E137708,1419,0,30-08-2019,17:22:00
1,P286634,506,249,17-02-2019,16:33:00
2,E988252,743,4,03-12-2019,12:46:00
3,I281837,1261,0,20-07-2019,11:45:00
3,S704443,348,0,05-04-2019,12:29:00
3,X409223,781,0,30-01-2019,14:37:00
3,G586239,763,0,14-02-2019,09:16:00
2,C206355,100,9,10-03-2019,19:31:00
3,J192194,1405,29,15-10-2019,17:48:00
3,I543040,896,18,01-09-2019,14:36:00
1,T398672,9,0,10-09-2019,08:30:00
2,P286634,492,0,20-03-2019,14:42:00
3,P203824,998,5,15-03-2019,18:43:00
2,M163408,1492,0,12-09-2019,19:33:00
2,S704443,714,3,05-10-2019,10:44:00
2,U641256,111,0,21-11-2019,15:28:00
3,G727038,459,11,20-03-2019,15:42:00
3,T664783,694,22,26-06-2019,14:11:00
1,F542348,128,0,03-03-2019,19:37:00
3,N119221,845,61,04-10-2019,15:14:00
3,E778362,371,0,17-03-2019,15:40:00
1,K669566,419,29,07-09-2019,11:53:00
3,V228277,1102,0,14-12-2019,13:43:00
2,N772493,337,30,06-10-2019,13:17:00
3,L736768,88,0,03-02-2019,10:04:00
2,C206355,1358,0,24-01-2019,09:28:00
